"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
5947, 8.367317939040274e-01, 1.545636805390601e-01, 1.143251797786030e+02, 6.578934119978171e+03, -1.876993441337675e+03, 6.558358454358879e+07, 7.348801430686259e+05, 6.405450023694207e+02, 1.225595251880311e+00, -3.350527996802840e-01
5948, 8.961665956472844e-01, 1.999820915955400e-01, 1.143878537383029e+02, 6.579207128202207e+03, -1.879180527014898e+03, 6.561966493449762e+07, 7.350268617341194e+05, 6.405528276696015e+02, 1.225966423913875e+00, -3.344771250699541e-01
5949, 8.271284588739551e-01, 1.572796798788418e-01, 1.143240219861129e+02, 6.578946098025045e+03, -1.876822890364541e+03, 6.558294720790298e+07, 7.348781930637583e+05, 6.405451508917770e+02, 1.225582746584275e+00, -3.350604508423808e-01
5950, 8.961650132989898e-01, 2.099807939114404e-01, 1.143958749116241e+02, 6.579606488479127e+03, -1.879253776100243e+03, 6.562413675382552e+07, 7.350415168060829e+05, 6.405522513722043e+02, 1.226078484894939e+00, -3.344196235052173e-01
5951, 8.175338993896006e-01, 1.600088497874130e-01, 1.143237990599911e+02, 6.578954874970575e+03, -1.876775705984150e+03, 6.558283709754370e+07, 7.348781308695407e+05, 6.405452999295512e+02, 1.225579846055247e+00, -3.350606948715358e-01
5952, 8.961563846633421e-01, 2.199833337788336e-01, 1.144009677672456e+02, 6.579871393035099e+03, -1.879312302035546e+03, 6.562706536542248e+07, 7.350530434841510e+05, 6.405527397400436e+02, 1.226145776997069e+00, -3.343743967040946e-01
5953, 8.079409069796426e-01, 1.627424073109659e-01, 1.143252115742366e+02, 6.578969800797769e+03, -1.876844335037470e+03, 6.558363832075160e+07, 7.348811194446003e+05, 6.405453530680755e+02, 1.225591581627224e+00, -3.350489687099253e-01
5954, 8.961492347912972e-01, 2.299871112164219e-01, 1.144035988012837e+02, 6.579993939711716e+03, -1.879347883805804e+03, 6.562869673050813e+07, 7.350619919050272e+05, 6.405541421376879e+02, 1.226169700753209e+00, -3.343392861155159e-01
5955, 7.983488231018625e-01, 1.654771403780952e-01, 1.143294020124512e+02, 6.579038400542541e+03, -1.877033235152363e+03, 6.558606820625369e+07, 7.348912858247760e+05, 6.405460108545948e+02, 1.225626120158855e+00, -3.350090792594150e-01
5956, 8.961449518611007e-01, 2.399900814770100e-01, 1.144046249542632e+02, 6.579997533363268e+03, -1.879363968063973e+03, 6.562946449871032e+07, 7.350688497007116e+05, 6.405559827097057e+02, 1.226161804304137e+00, -3.343123784358076e-01
5957, 7.887579017322324e-01, 1.682127920175245e-01, 1.143374547486930e+02, 6.579129383585229e+03, -1.877361295620346e+03, 6.559074061178081e+07, 7.349109663771129e+05, 6.405473312032618e+02, 1.225683332549602e+00, -3.349318594028992e-01
5958, 8.961421666057642e-01, 2.499918159477192e-01, 1.144050250153873e+02, 6.579931016157831e+03, -1.879367826756242e+03, 6.562986083536217e+07, 7.350740604525523e+05, 6.405576748192564e+02, 1.226139582796655e+00, -3.342919332012129e-01
5959, 7.791679283444469e-01, 1.709493934618528e-01, 1.143505777124003e+02, 6.579280976501769e+03, -1.877827278597053e+03, 6.559832995440004e+07, 7.349424274710156e+05, 6.405492508179130e+02, 1.225775549700922e+00, -3.348084166704283e-01
5960, 8.961398985076261e-01, 2.599927506786327e-01, 1.144057720745322e+02, 6.579868329396275e+03, -1.879378136395198e+03, 6.563037578681530e+07, 7.350780422609133e+05, 6.405586265128320e+02, 1.226125431531646e+00, -3.342763099267718e-01
5961, 7.695784731598401e-01, 1.736866677989682e-01, 1.143679413660360e+02, 6.579477135237767e+03, -1.878385186241105e+03, 6.560836370838773e+07, 7.349838678807772e+05, 6.405517240564013e+02, 1.225894503558878e+00, -3.346458184647998e-01
5962, 8.961378479759885e-01, 2.699933377960845e-01, 1.144076555169151e+02, 6.579898543955391e+03, -1.879426155154812e+03, 6.563141229820047e+07, 7.350812214535382e+05, 6.405583911252164e+02, 1.226143070487764e+00, -3.342638358460587e-01
5963, 7.599892277409994e-01, 1.764243034049410e-01, 1.143866432234306e+02, 6.579686474076074e+03, -1.878947174017530e+03, 6.561915676637953e+07, 7.350281506021692e+05, 6.405542596424299e+02, 1.226021444060026e+00, -3.344720679859773e-01
5964, 8.961359613878997e-01, 2.799937874657497e-01, 1.144112346892025e+02, 6.580118297269621e+03, -1.879534863113336e+03, 6.563327713233786e+07, 7.350843846592988e+05, 6.405568385448844e+02, 1.226213729840785e+00, -3.342514244924145e-01
5965, 7.504000517915946e-01, 1.791621387764076e-01, 1.144030134278975e+02, 6.579868055512736e+03, -1.879415547702075e+03, 6.562862740620725e+07, 7.350674916841999e+05, 6.405567074279209e+02, 1.226129487087105e+00, -3.343177068350508e-01
